Serial,Material,Product Code,Unit.Size(mm),Vol(cc),Pkg.Size(mm),Pkg.Qty,Unit Weight(gr),Pkg Weight(gr),Unit Price(IRR),Pkg.Price(IRR),SKUName
1.0,PS,181001.0,220*150*50,700.0,660*300*750,300.0,8.0,2400.0,6350.0,1905000.0,تک پرسی
2.0,PS,181000.0,210*140*40,600.0,660*300*650,300.0,7.0,2300.0,5900.0,1770000.0,تک پرسی اکونومی
3.0,PS,181002.0,270*150*50,1000.0,820*310*750,300.0,11.0,3520.0,8550.0,2565000.0,دو پرسی
4.0,PS,181003.0,270*150*50,900.0,820*310*750,300.0,11.0,3520.0,8600.0,2580000.0,دو پرسی دو خانه
5.0,PS,181011.0,260*140*40,900.0,810*310*750,300.0,11.0,3520.0,8550.0,2565000.0,یک و نیم پرسی
6.0,PS,181009.0,140*140*35,400.0,610*320*750,400.0,5.5,2280.0,5800.0,2320000.0,همبرگری
7.0,PS,181004.0,250*200*40,1350.0,510*400*750,200.0,12.0,2620.0,10300.0,2060000.0,دیپلمات
8.0,PS,181005.0,250*200*40,1250.0,510*400*750,200.0,12.0,2620.0,10300.0,2060000.0,دیپلمات سه خانه
9.0,PS,181010.0,260*180*40,900.0,720*270*750,500.0,7.0,3460.0,6350.0,3175000.0,دیسی M26
10.0,PS,181007.0,280*210*30,1200.0,850*280*770,500.0,8.0,4100.0,6850.0,3425000.0,دیسی M28
11.0,PS,181006.0,26*3,1200.0,******,500.0,7.0,3850.0,6000.0,3000000.0,بشقاب فومی بزرگ
12.0,PET,182001.0,220*160*65,1400.0,455*475*360,300.0,36.0,11500.0,29000.0,8700000.0,باکس پذیرایی بلند
13.0,PET,182002.0,220*160*45,800.0,455*475*360,350.0,34.0,12600.0,28000.0,9800000.0,باکس پذیرایی کوتاه
14.0,PET,182025.0,240*150*50,1200.0,550*475*300,300.0,26.5,8740.0,20500.0,6150000.0,لانچ باکس بلند
15.0,PET,182023.0,240*150*30,800.0,550*475*300,350.0,25.0,9300.0,18500.0,6475000.0,لانچ باکس کوتاه
16.0,PET,182019.0,190*130*50,700.0,610*390*270,400.0,18.5,8100.0,16500.0,6600000.0,فوکری بلند
17.0,PET,182021.0,190*130*40,600.0,610*390*270,400.0,16.5,7360.0,15000.0,6000000.0,فوکری کوتاه
18.0,PET,182046.0,145*120*50,500.0,570*450*290,500.0,14.5,8160.0,12500.0,6250000.0,دلی بلند
19.0,PET,182045.0,145*120*30,250.0,570*450*290,500.0,12.5,7080.0,11000.0,5500000.0,دلی کوتاه
20.0,PET,182006.0,145*120*30,250.0,570*450*290,500.0,12.5,7080.0,11150.0,5575000.0,دلی کوتاه دو خانه
21.0,PET,182028.0,100*80*40,200.0,555*405*355,1000.0,7.0,8060.0,7500.0,7500000.0,عسلی بلند
22.0,PET,182027.0,100*80*30,150.0,555*405*355,1000.0,6.5,7420.0,7000.0,7000000.0,عسلی کوتاه
23.0,PET,182044.0,70*70*32,90.0,470*450*385,1200.0,4.0,5620.0,4500.0,5400000.0,پیاله درب دار بزرگ
24.0,PET,182053.0,60*60*30,60.0,465*260*325,1500.0,3.0,5000.0,4000.0,6000000.0,پیاله درب دار کوچک
25.0,PET,182003.0,60*60*30,30.0,525*415*300,1000.0,3.0,2900.0,3000.0,3000000.0,سسی 30
26.0,PET,182008.0,260*180*30,800.0,450*385*275,500.0,32.0,16700.0,22000.0,11000000.0,دیس تخت
27.0,PET,182013.0,260*180*50,1300.0,450*385*275,500.0,32.0,16700.0,22000.0,11000000.0,دیس گود
28.0,PET,182009.0,220*170*30,700.0,560*360*230,500.0,25.0,12500.0,20000.0,10000000.0,دیس دو پرسی 3 سانتی
29.0,PET,182010.0,220*170*40,1000.0,560*360*230,500.0,26.5,12800.0,20000.0,10000000.0,دیس دو پرسی 4 سانتی
30.0,PET,182011.0,220*170*50,1300.0,560*360*230,500.0,26.5,12800.0,20000.0,10000000.0,دیس دو پرسی 5 سانتی
